Date,Station,DSP Short Code,Package Count,Package Details,Package Type
2026-02-15,Reno (DLV3)-Amazon.com,NDAY,7945,Delivered Packages,DELIVERY
2026-02-15,Reno (DLV3)-Amazon.com,NDAY,1,Pickup Packages,CUSTOMER_LOCKER_RETURN
2026-02-16,Reno (DLV3)-Amazon.com,NDAY,4461,Delivered Packages,DELIVERY
2026-02-17,Reno (DLV3)-Amazon.com,NDAY,679,Delivered Packages,DELIVERY
2026-02-18,Reno (DLV3)-Amazon.com,NDAY,1840,Delivered Packages,DELIVERY
2026-02-18,Reno (DLV3)-Amazon.com,NDAY,2,Pickup Packages,CUSTOMER_LOCKER_RETURN
2026-02-19,Reno (DLV3)-Amazon.com,NDAY,2977,Delivered Packages,DELIVERY
2026-02-19,Reno (DLV3)-Amazon.com,NDAY,0,Pickup Packages,CUSTOMER_LOCKER_RETURN
2026-02-20,Reno (DLV3)-Amazon.com,NDAY,3907,Delivered Packages,DELIVERY
2026-02-20,Reno (DLV3)-Amazon.com,NDAY,0,Pickup Packages,CUSTOMER_LOCKER_RETURN
2026-02-21,Reno (DLV3)-Amazon.com,NDAY,9902,Delivered Packages,DELIVERY
2026-02-21,Reno (DLV3)-Amazon.com,NDAY,4,Pickup Packages,CUSTOMER_LOCKER_RETURN
